fruit,grade,folder,filename,extension,path
Apple,Healthy,Apple__Healthy,FreshApple (147).jpg,jpg,dataset\Apple__Healthy\FreshApple (147).jpg
Apple,Healthy,Apple__Healthy,FreshApple (148).jpg,jpg,dataset\Apple__Healthy\FreshApple (148).jpg
Apple,Healthy,Apple__Healthy,FreshApple (149).jpg,jpg,dataset\Apple__Healthy\FreshApple (149).jpg
Apple,Healthy,Apple__Healthy,FreshApple (15).jpg,jpg,dataset\Apple__Healthy\FreshApple (15).jpg
Apple,Healthy,Apple__Healthy,FreshApple (150).jpg,jpg,dataset\Apple__Healthy\FreshApple (150).jpg
Apple,Healthy,Apple__Healthy,FreshApple (151).jpg,jpg,dataset\Apple__Healthy\FreshApple (151).jpg
Apple,Healthy,Apple__Healthy,FreshApple (152).jpg,jpg,dataset\Apple__Healthy\FreshApple (152).jpg
Apple,Healthy,Apple__Healthy,FreshApple (153).jpg,jpg,dataset\Apple__Healthy\FreshApple (153).jpg
Apple,Healthy,Apple__Healthy,FreshApple (154).jpg,jpg,dataset\Apple__Healthy\FreshApple (154).jpg
Apple,Healthy,Apple__Healthy,FreshApple (155).jpg,jpg,dataset\Apple__Healthy\FreshApple (155).jpg
Apple,Healthy,Apple__Healthy,FreshApple (156).jpg,jpg,dataset\Apple__Healthy\FreshApple (156).jpg
Apple,Healthy,Apple__Healthy,FreshApple (157).jpg,jpg,dataset\Apple__Healthy\FreshApple (157).jpg
Apple,Healthy,Apple__Healthy,FreshApple (158).jpg,jpg,dataset\Apple__Healthy\FreshApple (158).jpg
Apple,Healthy,Apple__Healthy,FreshApple (159).jpg,jpg,dataset\Apple__Healthy\FreshApple (159).jpg
Apple,Healthy,Apple__Healthy,FreshApple (16).jpg,jpg,dataset\Apple__Healthy\FreshApple (16).jpg
Apple,Healthy,Apple__Healthy,FreshApple (160).jpg,jpg,dataset\Apple__Healthy\FreshApple (160).jpg
Apple,Healthy,Apple__Healthy,FreshApple (161).jpg,jpg,dataset\Apple__Healthy\FreshApple (161).jpg
Apple,Healthy,Apple__Healthy,FreshApple (162).jpg,jpg,dataset\Apple__Healthy\FreshApple (162).jpg
Apple,Healthy,Apple__Healthy,FreshApple (163).jpg,jpg,dataset\Apple__Healthy\FreshApple (163).jpg
Apple,Healthy,Apple__Healthy,FreshApple (164).jpg,jpg,dataset\Apple__Healthy\FreshApple (164).jpg
Apple,Healthy,Apple__Healthy,FreshApple (165).jpg,jpg,dataset\Apple__Healthy\FreshApple (165).jpg
Apple,Healthy,Apple__Healthy,FreshApple (166).jpg,jpg,dataset\Apple__Healthy\FreshApple (166).jpg
Apple,Healthy,Apple__Healthy,FreshApple (167).jpg,jpg,dataset\Apple__Healthy\FreshApple (167).jpg
Apple,Healthy,Apple__Healthy,FreshApple (168).jpg,jpg,dataset\Apple__Healthy\FreshApple (168).jpg
Apple,Healthy,Apple__Healthy,FreshApple (169).jpg,jpg,dataset\Apple__Healthy\FreshApple (169).jpg
Apple,Healthy,Apple__Healthy,FreshApple (17).jpg,jpg,dataset\Apple__Healthy\FreshApple (17).jpg
Apple,Healthy,Apple__Healthy,FreshApple (170).jpg,jpg,dataset\Apple__Healthy\FreshApple (170).jpg
Apple,Healthy,Apple__Healthy,FreshApple (171).jpg,jpg,dataset\Apple__Healthy\FreshApple (171).jpg
Apple,Healthy,Apple__Healthy,FreshApple (172).jpg,jpg,dataset\Apple__Healthy\FreshApple (172).jpg
Apple,Healthy,Apple__Healthy,FreshApple (173).jpg,jpg,dataset\Apple__Healthy\FreshApple (173).jpg
Apple,Healthy,Apple__Healthy,FreshApple (174).jpg,jpg,dataset\Apple__Healthy\FreshApple (174).jpg
Apple,Healthy,Apple__Healthy,FreshApple (175).jpg,jpg,dataset\Apple__Healthy\FreshApple (175).jpg
Apple,Healthy,Apple__Healthy,FreshApple (176).jpg,jpg,dataset\Apple__Healthy\FreshApple (176).jpg
Apple,Healthy,Apple__Healthy,FreshApple (177).jpg,jpg,dataset\Apple__Healthy\FreshApple (177).jpg
Apple,Healthy,Apple__Healthy,FreshApple (178).jpg,jpg,dataset\Apple__Healthy\FreshApple (178).jpg
Apple,Healthy,Apple__Healthy,FreshApple (179).jpg,jpg,dataset\Apple__Healthy\FreshApple (179).jpg
Apple,Healthy,Apple__Healthy,FreshApple (18).jpg,jpg,dataset\Apple__Healthy\FreshApple (18).jpg
Apple,Healthy,Apple__Healthy,FreshApple (180).jpg,jpg,dataset\Apple__Healthy\FreshApple (180).jpg
Apple,Healthy,Apple__Healthy,FreshApple (181).jpg,jpg,dataset\Apple__Healthy\FreshApple (181).jpg
Apple,Healthy,Apple__Healthy,FreshApple (182).jpg,jpg,dataset\Apple__Healthy\FreshApple (182).jpg
Apple,Healthy,Apple__Healthy,FreshApple (183).jpg,jpg,dataset\Apple__Healthy\FreshApple (183).jpg
Apple,Healthy,Apple__Healthy,FreshApple (184).jpg,jpg,dataset\Apple__Healthy\FreshApple (184).jpg
Apple,Healthy,Apple__Healthy,FreshApple (185).jpg,jpg,dataset\Apple__Healthy\FreshApple (185).jpg
Apple,Healthy,Apple__Healthy,FreshApple (186).jpg,jpg,dataset\Apple__Healthy\FreshApple (186).jpg
Apple,Healthy,Apple__Healthy,FreshApple (187).jpg,jpg,dataset\Apple__Healthy\FreshApple (187).jpg
Apple,Healthy,Apple__Healthy,FreshApple (188).jpg,jpg,dataset\Apple__Healthy\FreshApple (188).jpg
Apple,Healthy,Apple__Healthy,FreshApple (189).jpg,jpg,dataset\Apple__Healthy\FreshApple (189).jpg
Apple,Healthy,Apple__Healthy,FreshApple (19).jpg,jpg,dataset\Apple__Healthy\FreshApple (19).jpg
Apple,Healthy,Apple__Healthy,FreshApple (190).jpg,jpg,dataset\Apple__Healthy\FreshApple (190).jpg
Apple,Healthy,Apple__Healthy,FreshApple (191).jpg,jpg,dataset\Apple__Healthy\FreshApple (191).jpg
Apple,Healthy,Apple__Healthy,FreshApple (192).jpg,jpg,dataset\Apple__Healthy\FreshApple (192).jpg
Apple,Healthy,Apple__Healthy,FreshApple (193).jpg,jpg,dataset\Apple__Healthy\FreshApple (193).jpg
Apple,Healthy,Apple__Healthy,FreshApple (194).jpg,jpg,dataset\Apple__Healthy\FreshApple (194).jpg
Apple,Healthy,Apple__Healthy,FreshApple (195).jpg,jpg,dataset\Apple__Healthy\FreshApple (195).jpg
Apple,Healthy,Apple__Healthy,FreshApple (196).jpg,jpg,dataset\Apple__Healthy\FreshApple (196).jpg
Apple,Healthy,Apple__Healthy,FreshApple (197).jpg,jpg,dataset\Apple__Healthy\FreshApple (197).jpg
Apple,Healthy,Apple__Healthy,FreshApple (198).jpg,jpg,dataset\Apple__Healthy\FreshApple (198).jpg
Apple,Healthy,Apple__Healthy,FreshApple (199).jpg,jpg,dataset\Apple__Healthy\FreshApple (199).jpg
Apple,Healthy,Apple__Healthy,FreshApple (2).jpg,jpg,dataset\Apple__Healthy\FreshApple (2).jpg
Apple,Healthy,Apple__Healthy,FreshApple (20).jpg,jpg,dataset\Apple__Healthy\FreshApple (20).jpg
Apple,Healthy,Apple__Healthy,FreshApple (200).jpg,jpg,dataset\Apple__Healthy\FreshApple (200).jpg
Apple,Healthy,Apple__Healthy,freshApple (201).jpg,jpg,dataset\Apple__Healthy\freshApple (201).jpg
Apple,Healthy,Apple__Healthy,freshApple (202).jpg,jpg,dataset\Apple__Healthy\freshApple (202).jpg
Apple,Healthy,Apple__Healthy,freshApple (203).jpg,jpg,dataset\Apple__Healthy\freshApple (203).jpg
Apple,Healthy,Apple__Healthy,freshApple (204).jpg,jpg,dataset\Apple__Healthy\freshApple (204).jpg
Apple,Healthy,Apple__Healthy,freshApple (205).jpg,jpg,dataset\Apple__Healthy\freshApple (205).jpg
Apple,Healthy,Apple__Healthy,freshApple (206).jpg,jpg,dataset\Apple__Healthy\freshApple (206).jpg
Apple,Healthy,Apple__Healthy,freshApple (207).jpg,jpg,dataset\Apple__Healthy\freshApple (207).jpg
Apple,Healthy,Apple__Healthy,freshApple (208).jpg,jpg,dataset\Apple__Healthy\freshApple (208).jpg
Apple,Healthy,Apple__Healthy,freshApple (209).jpg,jpg,dataset\Apple__Healthy\freshApple (209).jpg
Apple,Healthy,Apple__Healthy,FreshApple (21).jpg,jpg,dataset\Apple__Healthy\FreshApple (21).jpg
Apple,Healthy,Apple__Healthy,freshApple (210).jpg,jpg,dataset\Apple__Healthy\freshApple (210).jpg
Apple,Healthy,Apple__Healthy,freshApple (211).jpg,jpg,dataset\Apple__Healthy\freshApple (211).jpg
Apple,Healthy,Apple__Healthy,freshApple (212).jpg,jpg,dataset\Apple__Healthy\freshApple (212).jpg
Apple,Healthy,Apple__Healthy,freshApple (213).jpg,jpg,dataset\Apple__Healthy\freshApple (213).jpg
Apple,Healthy,Apple__Healthy,freshApple (214).jpg,jpg,dataset\Apple__Healthy\freshApple (214).jpg
Apple,Healthy,Apple__Healthy,freshApple (215).jpg,jpg,dataset\Apple__Healthy\freshApple (215).jpg
Apple,Healthy,Apple__Healthy,freshApple (216).jpg,jpg,dataset\Apple__Healthy\freshApple (216).jpg
Apple,Healthy,Apple__Healthy,freshApple (217).jpg,jpg,dataset\Apple__Healthy\freshApple (217).jpg
Apple,Healthy,Apple__Healthy,freshApple (218).jpg,jpg,dataset\Apple__Healthy\freshApple (218).jpg
Apple,Healthy,Apple__Healthy,freshApple (219).jpg,jpg,dataset\Apple__Healthy\freshApple (219).jpg
Apple,Healthy,Apple__Healthy,FreshApple (22).jpg,jpg,dataset\Apple__Healthy\FreshApple (22).jpg
Apple,Healthy,Apple__Healthy,freshApple (220).jpg,jpg,dataset\Apple__Healthy\freshApple (220).jpg
Apple,Healthy,Apple__Healthy,freshApple (221).jpg,jpg,dataset\Apple__Healthy\freshApple (221).jpg
Apple,Healthy,Apple__Healthy,freshApple (222).jpg,jpg,dataset\Apple__Healthy\freshApple (222).jpg
Apple,Healthy,Apple__Healthy,freshApple (223).jpg,jpg,dataset\Apple__Healthy\freshApple (223).jpg
Apple,Healthy,Apple__Healthy,freshApple (224).jpg,jpg,dataset\Apple__Healthy\freshApple (224).jpg
Apple,Healthy,Apple__Healthy,freshApple (225).jpg,jpg,dataset\Apple__Healthy\freshApple (225).jpg
Apple,Healthy,Apple__Healthy,freshApple (226).jpg,jpg,dataset\Apple__Healthy\freshApple (226).jpg
Apple,Healthy,Apple__Healthy,freshApple (227).jpg,jpg,dataset\Apple__Healthy\freshApple (227).jpg
Apple,Healthy,Apple__Healthy,freshApple (228).jpg,jpg,dataset\Apple__Healthy\freshApple (228).jpg
Apple,Healthy,Apple__Healthy,freshApple (229).jpg,jpg,dataset\Apple__Healthy\freshApple (229).jpg
Apple,Healthy,Apple__Healthy,FreshApple (23).jpg,jpg,dataset\Apple__Healthy\FreshApple (23).jpg
Apple,Healthy,Apple__Healthy,freshApple (230).jpg,jpg,dataset\Apple__Healthy\freshApple (230).jpg
Apple,Healthy,Apple__Healthy,freshApple (231).jpg,jpg,dataset\Apple__Healthy\freshApple (231).jpg
Apple,Healthy,Apple__Healthy,freshApple (232).jpg,jpg,dataset\Apple__Healthy\freshApple (232).jpg
Apple,Healthy,Apple__Healthy,freshApple (233).jpg,jpg,dataset\Apple__Healthy\freshApple (233).jpg
Apple,Healthy,Apple__Healthy,freshApple (234).jpg,jpg,dataset\Apple__Healthy\freshApple (234).jpg
Apple,Healthy,Apple__Healthy,freshApple (235).jpg,jpg,dataset\Apple__Healthy\freshApple (235).jpg
Apple,Healthy,Apple__Healthy,freshApple (236).jpg,jpg,dataset\Apple__Healthy\freshApple (236).jpg
Apple,Healthy,Apple__Healthy,freshApple (237).jpg,jpg,dataset\Apple__Healthy\freshApple (237).jpg
Apple,Healthy,Apple__Healthy,freshApple (238).jpg,jpg,dataset\Apple__Healthy\freshApple (238).jpg
Apple,Healthy,Apple__Healthy,freshApple (239).jpg,jpg,dataset\Apple__Healthy\freshApple (239).jpg
Apple,Healthy,Apple__Healthy,FreshApple (24).jpg,jpg,dataset\Apple__Healthy\FreshApple (24).jpg
Apple,Healthy,Apple__Healthy,freshApple (240).jpg,jpg,dataset\Apple__Healthy\freshApple (240).jpg
Apple,Healthy,Apple__Healthy,freshApple (241).jpg,jpg,dataset\Apple__Healthy\freshApple (241).jpg
Apple,Healthy,Apple__Healthy,freshApple (242).jpg,jpg,dataset\Apple__Healthy\freshApple (242).jpg
Apple,Healthy,Apple__Healthy,freshApple (243).jpg,jpg,dataset\Apple__Healthy\freshApple (243).jpg
Apple,Healthy,Apple__Healthy,freshApple (244).jpg,jpg,dataset\Apple__Healthy\freshApple (244).jpg
Apple,Healthy,Apple__Healthy,freshApple (245).jpg,jpg,dataset\Apple__Healthy\freshApple (245).jpg
Apple,Healthy,Apple__Healthy,freshApple (246).jpg,jpg,dataset\Apple__Healthy\freshApple (246).jpg
Apple,Healthy,Apple__Healthy,freshApple (247).jpg,jpg,dataset\Apple__Healthy\freshApple (247).jpg
Apple,Healthy,Apple__Healthy,freshApple (248).jpg,jpg,dataset\Apple__Healthy\freshApple (248).jpg
Apple,Healthy,Apple__Healthy,freshApple (249).jpg,jpg,dataset\Apple__Healthy\freshApple (249).jpg
Apple,Healthy,Apple__Healthy,FreshApple (25).jpg,jpg,dataset\Apple__Healthy\FreshApple (25).jpg
Apple,Healthy,Apple__Healthy,freshApple (250).jpg,jpg,dataset\Apple__Healthy\freshApple (250).jpg
Apple,Healthy,Apple__Healthy,freshApple (251).jpg,jpg,dataset\Apple__Healthy\freshApple (251).jpg
Apple,Healthy,Apple__Healthy,freshApple (252).jpg,jpg,dataset\Apple__Healthy\freshApple (252).jpg
Apple,Healthy,Apple__Healthy,freshApple (253).jpg,jpg,dataset\Apple__Healthy\freshApple (253).jpg
Apple,Healthy,Apple__Healthy,freshApple (254).jpg,jpg,dataset\Apple__Healthy\freshApple (254).jpg
Apple,Healthy,Apple__Healthy,freshApple (255).jpg,jpg,dataset\Apple__Healthy\freshApple (255).jpg
Apple,Healthy,Apple__Healthy,freshApple (256).jpg,jpg,dataset\Apple__Healthy\freshApple (256).jpg
Apple,Healthy,Apple__Healthy,freshApple (257).jpg,jpg,dataset\Apple__Healthy\freshApple (257).jpg
Apple,Healthy,Apple__Healthy,freshApple (258).jpg,jpg,dataset\Apple__Healthy\freshApple (258).jpg
Apple,Healthy,Apple__Healthy,freshApple (259).jpg,jpg,dataset\Apple__Healthy\freshApple (259).jpg
Apple,Healthy,Apple__Healthy,FreshApple (26).jpg,jpg,dataset\Apple__Healthy\FreshApple (26).jpg
Apple,Healthy,Apple__Healthy,freshApple (260).jpg,jpg,dataset\Apple__Healthy\freshApple (260).jpg
Apple,Healthy,Apple__Healthy,freshApple (261).jpg,jpg,dataset\Apple__Healthy\freshApple (261).jpg
Apple,Healthy,Apple__Healthy,freshApple (262).jpg,jpg,dataset\Apple__Healthy\freshApple (262).jpg
Apple,Healthy,Apple__Healthy,freshApple (263).jpg,jpg,dataset\Apple__Healthy\freshApple (263).jpg
Apple,Healthy,Apple__Healthy,freshApple (264).jpg,jpg,dataset\Apple__Healthy\freshApple (264).jpg
Apple,Healthy,Apple__Healthy,freshApple (265).jpg,jpg,dataset\Apple__Healthy\freshApple (265).jpg
Apple,Healthy,Apple__Healthy,freshApple (266).jpg,jpg,dataset\Apple__Healthy\freshApple (266).jpg
Apple,Healthy,Apple__Healthy,freshApple (267).jpg,jpg,dataset\Apple__Healthy\freshApple (267).jpg
Apple,Healthy,Apple__Healthy,freshApple (268).jpg,jpg,dataset\Apple__Healthy\freshApple (268).jpg
Apple,Healthy,Apple__Healthy,freshApple (269).jpg,jpg,dataset\Apple__Healthy\freshApple (269).jpg
Apple,Healthy,Apple__Healthy,FreshApple (27).jpg,jpg,dataset\Apple__Healthy\FreshApple (27).jpg
Apple,Healthy,Apple__Healthy,freshApple (270).jpg,jpg,dataset\Apple__Healthy\freshApple (270).jpg
Apple,Healthy,Apple__Healthy,freshApple (271).jpg,jpg,dataset\Apple__Healthy\freshApple (271).jpg
Apple,Healthy,Apple__Healthy,freshApple (272).jpg,jpg,dataset\Apple__Healthy\freshApple (272).jpg
Apple,Healthy,Apple__Healthy,freshApple (273).jpg,jpg,dataset\Apple__Healthy\freshApple (273).jpg
Apple,Healthy,Apple__Healthy,freshApple (274).jpg,jpg,dataset\Apple__Healthy\freshApple (274).jpg
Apple,Healthy,Apple__Healthy,freshApple (275).jpg,jpg,dataset\Apple__Healthy\freshApple (275).jpg
Apple,Healthy,Apple__Healthy,freshApple (276).jpg,jpg,dataset\Apple__Healthy\freshApple (276).jpg
Apple,Healthy,Apple__Healthy,freshApple (277).jpg,jpg,dataset\Apple__Healthy\freshApple (277).jpg
Apple,Healthy,Apple__Healthy,freshApple (278).jpg,jpg,dataset\Apple__Healthy\freshApple (278).jpg
Apple,Healthy,Apple__Healthy,freshApple (279).jpg,jpg,dataset\Apple__Healthy\freshApple (279).jpg
Apple,Healthy,Apple__Healthy,FreshApple (28).jpg,jpg,dataset\Apple__Healthy\FreshApple (28).jpg
Apple,Healthy,Apple__Healthy,freshApple (280).jpg,jpg,dataset\Apple__Healthy\freshApple (280).jpg
Apple,Healthy,Apple__Healthy,freshApple (281).jpg,jpg,dataset\Apple__Healthy\freshApple (281).jpg
Apple,Healthy,Apple__Healthy,freshApple (282).jpg,jpg,dataset\Apple__Healthy\freshApple (282).jpg
Apple,Healthy,Apple__Healthy,freshApple (283).jpg,jpg,dataset\Apple__Healthy\freshApple (283).jpg
Apple,Healthy,Apple__Healthy,freshApple (284).jpg,jpg,dataset\Apple__Healthy\freshApple (284).jpg
Apple,Healthy,Apple__Healthy,freshApple (285).jpg,jpg,dataset\Apple__Healthy\freshApple (285).jpg
Apple,Healthy,Apple__Healthy,freshApple (286).jpg,jpg,dataset\Apple__Healthy\freshApple (286).jpg
Apple,Healthy,Apple__Healthy,freshApple (287).jpg,jpg,dataset\Apple__Healthy\freshApple (287).jpg
Apple,Healthy,Apple__Healthy,freshApple (288).jpg,jpg,dataset\Apple__Healthy\freshApple (288).jpg
Apple,Healthy,Apple__Healthy,freshApple (289).jpg,jpg,dataset\Apple__Healthy\freshApple (289).jpg
Apple,Healthy,Apple__Healthy,FreshApple (29).jpg,jpg,dataset\Apple__Healthy\FreshApple (29).jpg
Apple,Healthy,Apple__Healthy,freshApple (290).jpg,jpg,dataset\Apple__Healthy\freshApple (290).jpg
Apple,Healthy,Apple__Healthy,freshApple (291).jpg,jpg,dataset\Apple__Healthy\freshApple (291).jpg
Apple,Healthy,Apple__Healthy,freshApple (292).jpg,jpg,dataset\Apple__Healthy\freshApple (292).jpg
Apple,Healthy,Apple__Healthy,freshApple (293).jpg,jpg,dataset\Apple__Healthy\freshApple (293).jpg
Apple,Healthy,Apple__Healthy,freshApple (294).jpg,jpg,dataset\Apple__Healthy\freshApple (294).jpg
Apple,Healthy,Apple__Healthy,freshApple (295).jpg,jpg,dataset\Apple__Healthy\freshApple (295).jpg
Apple,Healthy,Apple__Healthy,freshApple (296).jpg,jpg,dataset\Apple__Healthy\freshApple (296).jpg
Apple,Healthy,Apple__Healthy,freshApple (297).jpg,jpg,dataset\Apple__Healthy\freshApple (297).jpg
Apple,Healthy,Apple__Healthy,freshApple (298).jpg,jpg,dataset\Apple__Healthy\freshApple (298).jpg
Apple,Healthy,Apple__Healthy,freshApple (299).jpg,jpg,dataset\Apple__Healthy\freshApple (299).jpg
Apple,Healthy,Apple__Healthy,FreshApple (3).jpg,jpg,dataset\Apple__Healthy\FreshApple (3).jpg
Apple,Healthy,Apple__Healthy,FreshApple (30).jpg,jpg,dataset\Apple__Healthy\FreshApple (30).jpg
Apple,Healthy,Apple__Healthy,freshApple (300).jpg,jpg,dataset\Apple__Healthy\freshApple (300).jpg
Apple,Healthy,Apple__Healthy,freshApple (301).jpg,jpg,dataset\Apple__Healthy\freshApple (301).jpg
Apple,Healthy,Apple__Healthy,freshApple (302).jpg,jpg,dataset\Apple__Healthy\freshApple (302).jpg
Apple,Healthy,Apple__Healthy,freshApple (303).jpg,jpg,dataset\Apple__Healthy\freshApple (303).jpg
Apple,Healthy,Apple__Healthy,freshApple (304).jpg,jpg,dataset\Apple__Healthy\freshApple (304).jpg
Apple,Healthy,Apple__Healthy,freshApple (305).jpg,jpg,dataset\Apple__Healthy\freshApple (305).jpg
Apple,Healthy,Apple__Healthy,freshApple (306).jpg,jpg,dataset\Apple__Healthy\freshApple (306).jpg
Apple,Healthy,Apple__Healthy,freshApple (307).jpg,jpg,dataset\Apple__Healthy\freshApple (307).jpg
Apple,Healthy,Apple__Healthy,freshApple (308).jpg,jpg,dataset\Apple__Healthy\freshApple (308).jpg
Apple,Healthy,Apple__Healthy,freshApple (309).jpg,jpg,dataset\Apple__Healthy\freshApple (309).jpg
Apple,Healthy,Apple__Healthy,FreshApple (31).jpg,jpg,dataset\Apple__Healthy\FreshApple (31).jpg
Apple,Healthy,Apple__Healthy,freshApple (310).jpg,jpg,dataset\Apple__Healthy\freshApple (310).jpg
Apple,Healthy,Apple__Healthy,freshApple (311).jpg,jpg,dataset\Apple__Healthy\freshApple (311).jpg
Apple,Healthy,Apple__Healthy,freshApple (312).jpg,jpg,dataset\Apple__Healthy\freshApple (312).jpg
Apple,Healthy,Apple__Healthy,freshApple (313).jpg,jpg,dataset\Apple__Healthy\freshApple (313).jpg
